,cell_0,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9,cell_10,cell_11,cell_12,cell_13,cell_14,cell_15,cell_16,cell_17,cell_18,cell_19,cell_20,cell_21,cell_22,cell_23,cell_24,cell_25,cell_26,cell_27,cell_28,cell_29
gene_54,0,2,0,0,0,0,0,1,0,0,1,0,1,0,0,0,4,0,1,2,0,0,0,1,0,0,0,1,0,0
gene_55,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,2,1,1,0,0
gene_56,2,6,6,3,2,0,5,0,0,4,0,0,11,2,4,1,1,2,4,8,3,3,0,3,8,2,0,2,0,5
gene_57,0,0,0,1,5,9,0,0,1,0,2,5,1,0,1,0,2,1,3,14,1,0,1,1,1,4,6,0,0,1
gene_58,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,1,1,0,0,0,0,1,1,0,0,0,0
gene_59,6,8,3,2,6,1,4,0,6,5,3,6,6,2,2,0,5,7,1,7,1,2,2,11,2,11,0,1,0,2
gene_60,6,8,5,0,4,1,2,0,5,4,1,1,6,3,1,1,2,5,0,5,6,4,6,8,8,10,0,2,0,5
gene_61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
gene_62,6,8,5,3,4,0,9,1,2,9,1,2,11,3,0,1,2,1,3,7,8,2,7,5,9,7,1,6,0,2
gene_63,6,3,5,1,9,0,2,2,1,11,1,3,5,2,0,0,2,1,4,4,4,2,5,4,11,8,1,0,1,2
gene_64,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,4,0,1,1,1,1,0,1,1,1,0,1,0,0
gene_65,8,19,13,4,13,11,20,2,10,13,3,3,12,15,4,2,11,8,5,23,17,6,14,21,25,19,1,6,1,13
gene_66,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,2,2,0,0,0,0,0
gene_67,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
gene_68,15,20,12,8,19,5,26,1,8,30,3,14,16,7,1,5,5,9,12,19,15,16,16,26,30,31,2,7,1,23
gene_69,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,0,2
gene_70,2,10,11,7,8,3,11,2,6,16,1,5,13,4,5,7,6,11,3,12,8,6,6,8,16,18,0,2,1,7
gene_71,12,13,15,5,6,3,14,1,8,19,2,3,9,6,2,1,6,9,10,11,13,4,7,10,27,16,2,8,2,13
gene_72,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0
gene_73,8,14,12,9,8,4,8,0,8,15,2,6,11,2,0,4,2,10,5,17,12,7,14,10,16,20,1,3,1,11
gene_74,2,6,7,9,3,4,9,0,3,10,0,1,3,5,0,7,5,4,6,6,6,7,3,2,13,9,3,7,0,0
gene_75,11,18,9,6,9,3,15,3,2,14,1,7,5,4,0,4,5,13,5,14,14,10,13,11,19,16,0,3,3,9
gene_76,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,1,0,0,2,0,1,2,0
gene_77,21,33,11,10,11,3,15,1,7,16,3,8,20,6,1,3,2,13,6,17,12,15,13,10,23,21,1,5,1,8
gene_78,13,15,10,11,4,0,17,1,5,12,1,14,11,2,0,4,3,9,8,14,8,6,5,12,23,9,0,6,0,8
gene_79,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,3,0,0,0,0
gene_80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
gene_81,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_82,2,2,1,0,1,0,4,0,0,0,1,0,0,1,1,0,2,2,3,7,0,1,0,3,5,2,1,0,0,1
gene_83,17,13,13,3,9,2,12,2,1,6,3,3,17,3,0,1,1,12,9,14,5,5,9,6,10,12,0,9,0,10
gene_84,8,4,12,4,4,1,11,2,3,4,2,3,16,3,1,5,0,8,1,21,17,5,5,9,14,18,1,6,1,4
gene_85,0,0,1,2,0,2,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0
gene_86,3,1,0,2,0,0,0,0,1,2,1,1,3,0,0,0,3,2,3,1,0,2,2,2,0,2,0,2,0,2
gene_87,8,13,5,3,6,1,3,0,7,5,1,1,11,1,0,2,2,0,2,6,9,1,13,3,12,8,1,2,0,2
gene_88,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_89,4,2,4,8,5,1,9,1,2,10,1,4,7,0,0,1,5,2,3,4,3,3,2,5,7,12,0,2,1,7
gene_90,6,12,6,6,4,1,2,0,4,15,0,0,4,6,1,3,2,4,2,4,3,7,4,14,9,12,0,6,0,2
gene_91,3,7,5,3,7,1,7,2,4,9,0,2,5,5,1,0,3,3,4,8,5,4,11,2,12,7,0,5,0,8
gene_92,0,3,2,1,3,0,1,1,0,3,2,7,4,1,1,2,3,0,0,6,0,0,0,3,2,4,0,1,0,4
gene_93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
gene_94,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,3,2,1,1,1,0,0,1,0,0,0,0
gene_95,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
gene_97,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,2,0,0,0
gene_98,3,1,0,0,2,0,1,1,0,0,1,0,0,0,0,0,5,1,4,1,0,0,0,1,3,2,0,0,0,2
gene_99,0,2,0,0,0,0,0,1,1,1,1,1,2,1,0,0,0,0,0,0,2,1,1,1,0,1,0,1,0,1
gene_100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2
gene_101,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0
gene_102,1,2,2,1,0,0,0,1,0,0,0,1,2,0,0,0,1,0,3,1,1,0,0,4,0,0,0,0,0,2
gene_103,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,1,2,0,0,0,0,1,0,1,0,0
gene_104,2,0,0,0,2,2,1,1,0,0,1,0,0,0,2,0,1,0,2,1,1,2,0,1,2,2,1,0,2,0
gene_105,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,3,1,0,0,1
gene_106,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
gene_107,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
gene_108,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
gene_109,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0,0
gene_110,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1
gene_111,1,2,0,1,0,5,0,1,1,0,2,1,5,0,2,0,6,1,5,0,0,0,3,2,1,1,0,1,2,0
gene_112,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,2,1,0,0,2,0,1,0,1
gene_113,1,1,0,0,2,3,1,0,0,1,0,3,1,1,0,1,0,0,3,3,3,1,0,0,0,3,5,1,1,0
gene_114,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
gene_115,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
gene_116,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0
gene_117,5,9,2,0,2,2,2,0,2,1,2,1,2,2,0,1,3,1,3,5,1,0,1,4,4,3,0,3,3,0
gene_118,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,2,2,0,1,2,0,0,0,1,0,1,0,1,0,3
gene_119,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1
gene_120,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
gene_121,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2
gene_122,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0
gene_123,1,8,5,1,9,2,3,6,0,8,1,1,0,0,2,0,1,0,1,1,3,3,1,3,0,10,4,0,2,1
gene_124,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,2
gene_125,0,2,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,4,0,0
gene_126,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
gene_127,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
gene_128,2,6,5,5,8,2,1,3,1,1,2,4,4,1,3,6,10,0,11,5,2,0,1,5,6,7,0,6,2,4
gene_129,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,1,4,1,1,0,0,0,0,1,0,0,0,1
gene_130,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_131,1,4,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,1,1,2,0,0,0,2,0,1,1,0,1,2
gene_132,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0
gene_133,9,12,14,4,7,1,1,2,1,5,6,4,8,4,0,2,6,5,7,5,3,0,0,13,3,12,4,2,1,14
gene_134,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
gene_135,2,8,0,1,0,3,0,6,1,0,0,0,1,0,0,0,0,1,1,3,1,0,3,3,1,1,2,1,1,0
gene_136,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,1,0,0,2,0,0,1,1,0,0,0,0,1,0
gene_137,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_138,0,0,2,0,0,0,0,0,0,0,0,2,3,1,0,1,1,0,0,1,0,0,0,2,0,1,0,0,0,0
gene_139,2,4,0,0,0,1,0,0,0,0,2,1,1,0,1,0,1,0,3,1,0,0,0,1,1,2,2,0,1,0
gene_140,0,1,0,0,1,0,1,0,0,1,2,0,1,0,1,0,2,0,2,1,1,0,0,2,0,2,0,2,0,2
gene_141,0,13,0,0,5,3,0,2,5,1,1,2,4,0,1,3,10,2,11,10,2,1,1,26,1,4,2,2,5,4
gene_142,0,3,0,0,1,0,1,3,0,0,0,3,1,0,0,0,5,0,2,2,0,0,2,3,0,2,0,1,0,0
gene_143,1,0,2,0,2,1,1,1,0,1,0,0,1,0,1,0,2,1,0,4,0,0,1,1,0,3,0,1,0,0
gene_144,0,0,0,1,3,1,1,0,0,0,0,0,5,0,0,0,1,3,5,1,1,0,0,1,0,4,1,0,1,1
gene_145,2,4,0,0,2,2,0,2,1,0,0,0,2,1,1,1,4,0,1,2,0,1,0,1,0,0,1,0,1,1
gene_146,3,4,2,2,10,0,1,1,1,3,2,6,6,2,2,1,4,2,4,8,4,1,1,6,2,5,1,1,2,3
gene_147,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
gene_148,1,2,3,2,4,0,3,0,0,4,2,1,7,0,0,0,0,2,2,0,0,1,1,3,6,5,1,2,1,4
gene_149,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0
gene_150,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_151,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
gene_152,0,2,0,0,0,1,0,0,0,2,1,0,1,0,2,0,0,1,1,1,0,0,0,2,1,0,1,0,2,0
gene_153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
gene_154,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
gene_155,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_156,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_157,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,2,0,0,0,0,1,0
gene_158,1,2,0,1,1,1,0,4,0,1,0,0,1,0,1,3,4,0,1,5,1,1,1,0,1,5,1,0,2,1
gene_159,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_160,0,3,0,0,1,1,0,0,0,0,1,1,2,0,0,1,0,0,2,6,0,0,0,0,1,0,0,0,0,0
gene_161,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
gene_162,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,0,0,1,0
gene_163,1,0,2,0,2,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,4,2,0,0,0,2
gene_164,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
gene_165,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
gene_166,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0
gene_167,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0
gene_168,1,2,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,1,2,0,1,0,0,0,1,3,0,0,0
gene_169,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
gene_170,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,3,0,2,0,1,1,0
gene_171,0,0,0,0,3,0,0,2,0,0,3,0,0,0,0,0,1,1,2,2,1,0,0,1,0,1,0,0,0,4
gene_172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
gene_173,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
gene_174,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0
gene_175,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
gene_176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_177,3,2,3,0,4,2,0,2,2,1,1,0,2,0,1,1,2,0,1,1,1,0,0,1,0,1,2,0,0,0
gene_178,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
gene_179,1,0,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0
gene_180,0,2,1,0,0,0,0,1,0,3,1,2,1,0,1,0,3,0,0,5,0,0,0,0,0,0,1,0,3,0
gene_181,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
gene_182,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0
gene_183,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,3,1,0,2,1,2,0,1,0,0
gene_184,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
gene_185,2,1,1,0,0,0,0,1,5,1,0,0,1,0,0,0,1,0,0,1,0,0,0,3,0,3,0,0,0,1
gene_186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
gene_187,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,1
gene_188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_189,0,2,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
gene_190,0,1,0,0,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_191,2,3,1,1,1,3,0,0,2,0,2,0,2,1,1,3,0,0,2,2,2,1,1,4,5,4,1,0,1,0
gene_192,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
gene_193,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,1,0,1,2
gene_194,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,2,0,1,6,1,0,0,1,1,1,0,0,1,0
gene_195,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
gene_196,2,0,1,2,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,3,1,0,0,2,1,2,0,0,0,0
gene_197,1,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
gene_198,1,2,1,2,0,0,0,3,1,2,1,2,5,2,1,6,3,1,2,3,0,1,1,0,0,3,0,0,0,1
gene_199,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_200,1,0,0,0,0,0,1,0,0,2,1,2,0,0,0,0,1,2,0,0,0,0,0,2,0,1,0,0,0,0
gene_201,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,2,2,4,0,1,1,2,0,1,0,0,1,1
gene_202,0,0,0,0,0,1,0,2,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2,3,0,0,0
gene_203,0,7,0,0,0,0,0,2,1,2,0,0,2,0,0,0,1,0,3,0,0,1,0,0,0,9,1,0,1,0
gene_204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
gene_205,0,3,3,0,0,0,0,0,0,0,1,2,0,0,2,0,2,0,0,0,1,0,0,1,1,1,0,2,1,0
gene_206,19,18,9,7,20,8,2,4,2,5,13,3,13,0,10,7,13,9,12,16,8,2,5,19,14,20,5,5,6,12
gene_207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,1
gene_208,0,4,0,0,2,0,0,2,0,0,0,1,2,0,0,1,1,2,1,2,1,0,1,1,1,1,1,0,1,0
gene_209,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
gene_210,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
gene_211,0,3,1,0,1,0,0,1,0,0,1,3,1,0,0,1,0,1,1,3,1,0,0,2,3,3,0,2,1,1
gene_212,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
gene_213,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
gene_214,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
gene_215,0,3,1,0,0,0,1,0,0,0,0,0,1,1,0,1,2,0,3,1,0,1,0,1,0,0,0,1,0,0
gene_216,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
gene_217,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,4,0,0,2,0,0,0,1,0,2,0,1,0,0
gene_218,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0
gene_219,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_220,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1
gene_221,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0
gene_222,2,2,4,0,4,3,2,0,0,0,4,3,3,0,0,0,1,1,3,4,0,0,0,1,1,2,0,0,4,0
gene_223,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
gene_224,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0
gene_225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
gene_226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,2,0
gene_227,1,4,0,0,2,0,0,1,0,1,1,2,2,1,0,1,3,0,1,1,0,0,2,0,0,6,0,0,0,0
gene_228,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0
gene_229,6,1,1,0,3,3,0,2,0,1,0,1,0,0,1,3,5,2,2,8,0,0,1,1,1,6,1,3,1,1
gene_230,0,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2,0,0,3,0,0,0,2,0,1,1,0,1,0
gene_231,2,1,0,1,0,1,0,0,0,0,0,1,4,0,1,2,0,0,0,1,0,0,0,1,1,1,0,1,2,0
gene_232,0,1,1,0,2,3,1,6,0,1,0,1,1,1,0,1,2,1,7,7,1,0,1,2,0,4,5,0,1,1
gene_233,1,4,1,0,1,0,0,0,1,2,0,2,4,0,0,0,2,0,1,4,0,0,0,3,1,5,2,0,0,0
gene_234,0,2,1,0,0,0,0,1,1,1,1,1,0,0,3,0,1,0,1,2,0,0,1,0,0,3,0,2,3,0
gene_235,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1
gene_236,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
gene_237,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,2,1,0,2,0,2,1,0,0,0,1
gene_238,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0
gene_239,0,1,0,0,0,0,1,0,0,2,0,0,1,1,0,0,3,1,0,1,0,0,0,1,0,0,0,0,1,0
gene_240,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
gene_241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
gene_242,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
gene_243,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_244,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,2,1,1,6,0,1,0,1,0,0,0,1,0,0
gene_245,3,4,2,6,3,0,0,0,0,4,1,3,2,1,0,0,3,3,1,2,3,1,2,3,4,4,0,0,0,4
gene_246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
gene_247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
gene_248,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_249,1,4,1,0,7,1,1,5,0,0,1,1,1,2,1,0,5,2,1,6,0,0,0,1,1,5,1,2,4,3
gene_250,2,0,0,2,4,1,0,5,1,0,0,2,1,3,0,0,6,0,2,2,0,0,0,2,0,1,1,2,1,0
gene_251,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_252,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
gene_253,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0
gene_254,5,0,0,0,2,2,0,3,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,1,0,0,0,0
gene_255,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,2
gene_256,0,3,5,1,4,0,4,0,1,3,2,0,4,3,1,2,0,1,2,2,0,1,0,1,2,9,0,2,0,1
gene_257,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0
gene_258,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,2,0,0,0,0,1
gene_259,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_260,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,1
gene_261,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_262,1,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,1,0
gene_263,0,2,0,0,1,0,0,0,1,0,1,1,1,0,0,1,3,0,0,2,2,0,0,1,2,0,1,0,1,0
gene_264,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_265,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
gene_266,1,3,1,0,0,1,0,1,0,1,1,0,1,0,0,3,1,0,1,0,1,0,0,4,2,1,1,1,3,0
