,cell_0,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9,cell_10,cell_11,cell_12,cell_13,cell_14,cell_15,cell_16,cell_17,cell_18,cell_19,cell_20,cell_21,cell_22,cell_23,cell_24,cell_25,cell_26,cell_27,cell_28,cell_29
gene_462,1,0,0,0,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
gene_463,0,1,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0
gene_464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,2,0,0
gene_465,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0
gene_466,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,4,1,1,2,0,0,0,1,0,1,0,0,3,0
gene_467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
gene_468,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0
gene_469,0,2,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,2,0,0,0,4,1,2,1,1
gene_470,2,1,0,1,3,0,1,3,1,0,2,0,0,0,3,0,3,0,0,1,1,4,1,2,0,4,0,1,0,2
gene_471,0,4,2,0,0,0,0,1,0,1,1,0,0,1,0,0,2,1,0,2,1,0,1,0,2,2,0,2,0,0
gene_472,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,2,1,0,0,0,0,1,0,1,0,0,0
gene_473,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
gene_474,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
gene_475,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0
gene_476,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
gene_477,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
gene_478,0,0,0,0,1,0,1,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0
gene_479,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
gene_480,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0
gene_481,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
gene_482,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,4,0,0,0,0,2,0,0,0,0,0
gene_483,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,2,2,0,0,0,0,0,2,0,0,1,0
gene_484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
gene_485,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_486,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0
